Authors,Reference,Year published,Report type,Country of study,Ocean,Region,Study type,Years of data,Focus species Common Name,Other Species,"Life stage studied (Adult, Juvenile, Larval, Egg)",Temperature information recorded,Depth distribution information was recorded,Role in ecosystem: Predator species identified,Role in ecosystem: Prey species identified,Sampling gear used,Hydroacoustic frequency,StockStructure,Distribution_DataType,Distribution_DistributionHabitatUse,GrowthLifeHistory_MassOrSize,GrowthLifeHistory_Condition,GrowthLifeHistory_Foraging,GrowthLifeHistory_Other,Survival_Survival&Mortality,Performance_Stress,Performance_Energy,Performance_Swimming,Performance_Other,Migration_Spawning,Migration_Other,Reproduction_Maturation,Reproduction_Spawning,Reproduction_EggAbundance,Reproduction_EggSizeOrWeight,Reproduction_Fecundity,Reproduction_Other,Productivity_BiomassOrAbundance,Productivity_Recruitment,Productivity_Other,URL,DFO_Region,,,,
"LeBlanc, C.H.","LeBlanc, C.H. 2013. Nightly biomass estimates from acoustic data collected during the 2002 to 2012 herring gillnet fishing activities on fall spawning aggregations in the southern Gulf of St. Lawrence: Estimés de biomasse par nuit provenant de données acoustiques recueillies. Fisheries and Oceans Canada, Gulf Region, Science Branch, Moncton, N.B. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/348357.pdf.",2013,organization report,Canada,Atlantic,Southern Gulf of St. Lawrence,"stock assessment, distribution, life history",> 5 years,Atlantic Herring,no,"Adult, Juvenile",no,yes,no,no,"hydroacoustics, gillnets",120,NA,standardized biomass,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,not linked to a pressure,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,QueGul,,,,
"Lett, P.F., and Marshall, W.H. 1978","Lett, P.F., and Marshall, W.H. 1978. An interpretation of biological factors important in the management of the northwestern Atlantic mackerel stock. CAFSAC, Department of Fisheries and Oceans, Dartmouth, N.S U6 - ctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&rft.genre=book&rft.title=An+interpretation+of+biological+factors+important+in+the+man. Available from https://cat.fsl-bsf.scitech.gc.ca/record=b3877472~S1.",1978,organization report,Canada,Atlantic,"West Atlantic (Canada + USA East coasts), Southern Gulf of St. Lawrence, Scotian Shelf (Divs. 4VWX)","life history, distribution",> 5 years,Atlantic Mackerel,no,"Egg, Larval, Adult",yes,no,no,no,plankton net,NA,NA,"abundance , standardized abundance",temperature,"density dependence, temperature",NA,NA,NA,"fisheries, temperature, not linked to a pressure",NA,NA,NA,NA,NA,NA,NA,temperature,temperature,NA,NA,NA,fisheries,temperature,NA,NA,QueGul,,,,
"Visser, A., and Mackenzie, B.R.","Visser, A., and Mackenzie, B.R. (n.d.). Vertical migrations and the structure of pelagic food-webs View project Mechanistic Approach to Ocean Ecology View project. int-res.com. doi:10.3354/meps11758.",2016,journal paper,"Canada, USA",Atlantic,North Atlantic (Eastern North America + Europe),life history,> 5 years,sand lances,yes,Egg,yes,no,no,no,not specified,NA,NA,NA,NA,NA,NA,NA,NA,temperature,NA,NA,NA,NA,NA,NA,temperature,temperature,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Visser, A., and Mackenzie, B.R.","Visser, A., and Mackenzie, B.R. (n.d.). Vertical migrations and the structure of pelagic food-webs View project Mechanistic Approach to Ocean Ecology View project. int-res.com. doi:10.3354/meps11758.",2016,journal paper,"Canada, USA",Atlantic,North Atlantic (Eastern North America + Europe),life history,> 5 years,Capelin,yes,Egg,yes,no,no,no,not specified,NA,NA,NA,NA,NA,NA,NA,NA,temperature,NA,NA,NA,NA,NA,NA,temperature,temperature,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Visser, A., and Mackenzie, B.R.","Visser, A., and Mackenzie, B.R. (n.d.). Vertical migrations and the structure of pelagic food-webs View project Mechanistic Approach to Ocean Ecology View project. int-res.com. doi:10.3354/meps11758.",2016,journal paper,"Canada, USA",Atlantic,North Atlantic (Eastern North America + Europe),life history,> 5 years,Atlantic Mackerel,yes,Egg,yes,no,no,no,not specified,NA,NA,NA,NA,NA,NA,NA,NA,temperature,NA,NA,NA,NA,NA,NA,temperature,temperature,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Visser, A., and Mackenzie, B.R.","Visser, A., and Mackenzie, B.R. (n.d.). Vertical migrations and the structure of pelagic food-webs View project Mechanistic Approach to Ocean Ecology View project. int-res.com. doi:10.3354/meps11758.",2016,journal paper,"Canada, USA",Atlantic,North Atlantic (Eastern North America + Europe),life history,> 5 years,Atlantic Herring,yes,Egg,yes,no,no,no,not specified,NA,NA,NA,NA,NA,NA,NA,NA,temperature,NA,NA,NA,NA,NA,NA,temperature,temperature,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Fortier, L., and Leggett, W.C.","Fortier, L., and Leggett, W.C. 1982. Fickian Transport and the Dispersal of Fish Larvae in Estuaries. Can. J. Fish. Aquat. Sci. 39(8): 1150–1163. Dep. Biol., McGill Univ., Montreal, Que H3A 1B1, Canada. Available from https://cdnsciencepub.com/doi/pdf/10.1139/f82-153.",1982,journal paper,Canada,Atlantic,Northern Gulf of St. Lawrence,life history,1 year,Atlantic Herring,yes,Larval,no,yes,no,no,plankton net,NA,NA,"standardized abundance, size","transport (currents, etc), salinity, other pressure",not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Fortier, L., and Leggett, W.C.","Fortier, L., and Leggett, W.C. 1982. Fickian Transport and the Dispersal of Fish Larvae in Estuaries. Can. J. Fish. Aquat. Sci. 39(8): 1150–1163. Dep. Biol., McGill Univ., Montreal, Que H3A 1B1, Canada. Available from https://cdnsciencepub.com/doi/pdf/10.1139/f82-153.",1982,journal paper,Canada,Atlantic,Northern Gulf of St. Lawrence,life history,1 year,Capelin,yes,Larval,no,yes,no,no,plankton net,NA,NA,standardized abundance,"transport (currents, etc), salinity, other pressure",not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Gordon, D., Taft, D., and Van Barneveld, L.","Gordon, D., Taft, D., and Van Barneveld, L. 2005. Skeena River eulachon studies: 2005 data report : adult sampling and distribution, egg incubation distribution. Prince Rupert, BC. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwY2AwNtIz0EUrE0yMks2SDZLNLI2SUtOAfehU41SLFGDdYpBomJSYDJ5Md3G3CHIxdXE39mVigF1UBxp8SyvO0U0qTgN29kDD6hl66clIhyeZgJoQZqDDPoHtdmAyZ3X0D3d25GbgzCtKBq-aSuQBbTaBVhduggwsoC0EQgxMqXnCDOyu4IOhK0UYZIOzgb3.",2005,organization report,Canada,Pacific,Northern and Central BC,"distribution, life history, migration",1 year,Eulachon,no,"Adult, Larval, Egg",yes,yes,no,no,"plankton net, other, gillnets",NA,NA,"size, abundance",salinity,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,not linked to a pressure,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/350835.pdf,Pacific,,,,
"Gregoire, F., Beaulieu, J.-L., and McQuinn, I.H.","Gregoire, F., Beaulieu, J.-L., and McQuinn, I.H. 2013. The Atlantic herring (Clupea harengus harengus L.) stocks of the west coast of Newfoundland (NAFO Division 4R) in 2011. TT - Les stocks de hareng (Clupea harengus harengus L.) de la cote ouest de Terre- Neuve (Division 4R de l’OPANO) en 2011. In Research document (Canadian Science Advisory Secretariat)/Document de recherche (Secretariat canadien de consultation scientifique). DFO, Ottawa, ON (Canada), [mailto:info@dfo-mpo.gc.ca]. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/347901.pdf.",2013,organization report,Canada,Atlantic,Northern Gulf of St. Lawrence,"stock assessment, life history",> 5 years,Atlantic Herring,no,"Adult, Juvenile",no,no,no,no,"bottom trawl, hydroacoustics, purse seine, gillnets, trap, tuck seine, commercial pelagic trawl, commercial bottom trawl, other",NA,NA,"catch, standardized biomass , CPUE , other",not linked to a pressure,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Jovellanos, C. L., Gaskin, D. E.","Jovellanos, C. L., Gaskin, D. E. 1983 Predicting the Movements of Juvenile Atlantic Herring ( Clupea harengus harengus ) in the SW Bay of Fundy Using Computer Simulation Techniques. CJFAS 40: 139-146",1983,journal paper,Canada,Atlantic,Bay of Fundy,distribution,1 year,Atlantic Herring,no,Juvenile,no,no,no,no,"weir, hydroacoustics",200 kHz HE-32 sounder,NA,"catch, standardized abundance","transport (currents, etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Maguire, J.J.","Maguire, J.J. 1985. An investigation of northwest Atlantic mackerel partial recruitment vector. CAFSAC, Department of Fisheries and Oceans, Dartmouth, N.S U6 - ctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&rft.genre=book&rft.title=An+investigation+of+northwest+Atlantic+mackerel+partial+recr. Available from https://cat.fsl-bsf.scitech.gc.ca/record=b4026134~S1.",1985,organization report,Canada,Atlantic,West Atlantic (Canada + USA East coasts),stock assessment,> 5 years,Atlantic Mackerel,no,"Juvenile, Adult",no,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fisheries, not linked to a pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fisheries,fisheries,NA,NA,QueGul,,,,
"Rand, K. M., & Logerwell, E. A.","Rand, K. M., & Logerwell, E. A. (2010). The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biology, 34(4), 475–488. https://doi.org/10.1007/s00300-010-0900-2",2010,journal paper,USA,Arctic,"Beaufort Sea, Alaska",distribution,1 year,Arctic Cod,no,"Juvenile, Adult",yes,yes,no,yes,bottom trawl,NA,NA,"catch, abundance , CPUE",not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctic,,,,
"Stenson, G.B., Hammill, M.O., and Flight, J.","Stenson, G.B., Hammill, M.O., and Flight, J. 2013. Winter diet of grey seals in Cabot Strait. Canadian Science Advisory Secretariat, Ottawa. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/363071.pdf.",2013,organization report,Canada,Atlantic,Southern Gulf of St. Lawrence,ecosystem,1 year,Atlantic Herring,yes,not specified,no,no,yes,no,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Stenson, G.B., Hammill, M.O., and Flight, J.","Stenson, G.B., Hammill, M.O., and Flight, J. 2013. Winter diet of grey seals in Cabot Strait. Canadian Science Advisory Secretariat, Ottawa. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/363071.pdf.",2013,organization report,Canada,Atlantic,Southern Gulf of St. Lawrence,ecosystem,1 year,Atlantic Mackerel,yes,not specified,no,no,yes,no,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Stenson, G.B., Hammill, M.O., and Flight, J.","Stenson, G.B., Hammill, M.O., and Flight, J. 2013. Winter diet of grey seals in Cabot Strait. Canadian Science Advisory Secretariat, Ottawa. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/363071.pdf.",2013,organization report,Canada,Atlantic,Southern Gulf of St. Lawrence,ecosystem,1 year,Capelin,yes,not specified,no,no,yes,no,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Stenson, G.B., Hammill, M.O., and Flight, J.","Stenson, G.B., Hammill, M.O., and Flight, J. 2013. Winter diet of grey seals in Cabot Strait. Canadian Science Advisory Secretariat, Ottawa. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/363071.pdf.",2013,organization report,Canada,Atlantic,Southern Gulf of St. Lawrence,ecosystem,1 year,sand lances,yes,not specified,no,no,yes,no,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Winters, G.H.","Winters, G.H. 1981. Growth Patterns in Sand Lance, Ammodytes dubius , From the Grand Bank. Can. J. Fish. Aquat. Sci. 38(7): 841–846. Canadian Science Publishing, Dep. Fish. and Oceans, Res. and Resour. Serv., Northwest Atlantic Fisheries Cent., P.O. Box 5667, St. John’s, Nfld. A1C 5X1. doi:10.1139/f81-111.",1981,journal paper,Canada,Atlantic,Southern Newfoundland (Divs. 3NOPs),life history,> 5 years,sand lances,no,"Adult, Juvenile",yes,no,no,no,bottom trawl,NA,NA,abundance,temperature,temperature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Hamilton, J.B., Curtis, G.L., Snedaker, S.M., and White, D.K.","Hamilton, J.B., Curtis, G.L., Snedaker, S.M., and White, D.K. 2005. Distribution of Anadromous Fishes in the Upper Klamath River Watershed Prior to Hydropower Dams - A Synthesis of the Historical Evidence. Fisheries 30(4): 10–20. U.S.Fish and Wildlife Service Yreka Fish and Wildlife Office, Yreka, CA, USA, John_Hamilton@fws.qov. Available from https://www.proquest.com/docview/17490679?accountid=27308.",2005,journal paper,USA,Pacific,"Washington, Oregon, or California","distribution, TEK or LEK",> 5 years,Eulachon,no,not specified,no,no,no,no,not specified,NA,NA,TEK or LEK,other human pressures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other human pressures,NA,NA,https://afspubs.onlinelibrary.wiley.com/doi/pdf/10.1577/1548-8446%282005%2930%5B10%3ADOAFIT%5D2.0.CO%3B2,Pacific,,,,
"Hanson, J.M., and Wilson, T.","Hanson, J.M., and Wilson, T. 2014. Abundance, Distribution, and Diet of a Small-Bodied Ecotype of Windowpane. Trans. Am. Fish. Soc. 143(3): 650–659. American Fisheries Society. doi:10.1080/00028487.2013.879819.",2014,journal paper,Canada,Atlantic,Southern Gulf of St. Lawrence,ecosystem,1 year,Atlantic Herring,yes,not specified,no,no,yes,no,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Hanson, J.M., and Wilson, T.","Hanson, J.M., and Wilson, T. 2014. Abundance, Distribution, and Diet of a Small-Bodied Ecotype of Windowpane. Trans. Am. Fish. Soc. 143(3): 650–659. American Fisheries Society. doi:10.1080/00028487.2013.879819.",2014,journal paper,Canada,Atlantic,Southern Gulf of St. Lawrence,ecosystem,1 year,sand lances,yes,not specified,no,no,yes,no,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"LeBlanc, C.H., Mallet, A., MacDougall, C., Bourque, D., and Swain, D.","LeBlanc, C.H., Mallet, A., MacDougall, C., Bourque, D., and Swain, D. 2012. Assessment of the NAFO Division 4T southern Gulf of St. Lawrence herring stocks in 2011: Évaluation des stocks de hareng de la zone 4T de l’OPANO dans le sud du golfe du Saint-Laurent en 2011. Canadian Science Advisory Secretariat = Secrétariat canadien de consultation scientifique, Ottawa. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/347443.pdf.",2012,organization report,Canada,Atlantic,Southern Gulf of St. Lawrence,"stock assessment, distribution, TEK or LEK",> 5 years,Atlantic Herring,yes,"Adult, Juvenile",no,yes,no,no,"purse seine, gillnets, other, hydroacoustics, bottom trawl, pelagic trawl",120,NA,"catch, standardized biomass , CPUE , TEK or LEK , abundance , size",not linked to a pressure,not linked to a pressure,NA,NA,NA,"fisheries, not linked to a pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fisheries,not linked to a pressure,NA,NA,QueGul,,,,
"LeBlanc, C.H., Mallet, A., MacDougall, C., Bourque, D., and Swain, D.","LeBlanc, C.H., Mallet, A., MacDougall, C., Bourque, D., and Swain, D. 2012. Assessment of the NAFO Division 4T southern Gulf of St. Lawrence herring stocks in 2011: Évaluation des stocks de hareng de la zone 4T de l’OPANO dans le sud du golfe du Saint-Laurent en 2011. Canadian Science Advisory Secretariat = Secrétariat canadien de consultation scientifique, Ottawa. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/347443.pdf.",2012,organization report,Canada,Atlantic,Southern Gulf of St. Lawrence,other,< 5 years,Atlantic Mackerel,yes,not specified,no,yes,no,no,"pelagic trawl, hydroacoustics",120,NA,"size , catch",not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"LeBlanc, C.H., Mallet, A., MacDougall, C., Bourque, D., and Swain, D.","LeBlanc, C.H., Mallet, A., MacDougall, C., Bourque, D., and Swain, D. 2012. Assessment of the NAFO Division 4T southern Gulf of St. Lawrence herring stocks in 2011: Évaluation des stocks de hareng de la zone 4T de l’OPANO dans le sud du golfe du Saint-Laurent en 2011. Canadian Science Advisory Secretariat = Secrétariat canadien de consultation scientifique, Ottawa. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/347443.pdf.",2012,organization report,Canada,Atlantic,Southern Gulf of St. Lawrence,other,< 5 years,Capelin,yes,not specified,no,yes,no,no,"pelagic trawl, hydroacoustics",120,NA,"size , catch",not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"M.J. Power A. MacIntyre, G.D. Melvin, and R. Singh, D Knox","M.J. Power A. MacIntyre, G.D. Melvin, and R. Singh, D Knox 2013 2011 evaluation of 4VWX herring CSAS Res. Doc. 2012/085",2013,organization report,Canada,Atlantic,"Scotian Shelf (Divs. 4VWX), Bay of Fundy",stock assessment,1 year,Atlantic Herring,no,"Adult, Juvenile",no,no,no,no,"bottom trawl, hydroacoustics, weir, purse seine, trap, gillnets",NA,NA,"standardized abundance, catch",NA,not linked to a pressure,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Maguire, J.-J.","Maguire, J.-J. 1979. An outline of a method to back-calculate the mackerel spawning stock from egg abundance estimates. In Research document (Canadian Science Advisory Secretariat)/Document de recherche (Secretariat canadien de consultation scientifique). DFO, Dartmouth, NS (Canada). Available from https://www.proquest.com/docview/1916378049?accountid=27308.",1979,organization report,Canada,Atlantic,Southern Gulf of St. Lawrence,"stock assessment, life history",> 5 years,Atlantic Mackerel,no,Egg,yes,no,no,no,plankton net,NA,NA,standardized abundance,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,temperature,temperature,NA,not linked to a pressure,NA,not linked to a pressure,NA,NA,NA,QueGul,,,,
"Savard, L.","Savard, L. 1982. Identification des populations de capelan (Mallotus villosus) de l’estuaire et du golfe du Saint-Laurent a l’aide de caracteres morphometriques et meristiques. Quebec. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/40927295.pdf.",1982,organization report,Canada,Atlantic,"Northern Gulf of St. Lawrence, Hudson Bay",stock structure,1 year,Capelin,no,"Adult, Juvenile",no,no,no,no,not specified,NA,other,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Savard, L.","Savard, L. 1982. Identification des populations de capelan (Mallotus villosus) de l’estuaire et du golfe du Saint-Laurent a l’aide de caracteres morphometriques et meristiques. Quebec. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/40927295.pdf.",1982,organization report,Canada,Arctic,"Northern Gulf of St. Lawrence, Hudson Bay",stock structure,1 year,Capelin,no,"Adult, Juvenile",no,no,no,no,not specified,NA,other,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Steiner, N. S., Cheung, W. W. L., Cisneros-Montemayor, A. M., Drost, H., Hayashida, H., Hoover, C., … VanderZwaag, D. L.","Steiner, N. S., Cheung, W. W. L., Cisneros-Montemayor, A. M., Drost, H., Hayashida, H., Hoover, C., … VanderZwaag, D. L. (2019). Impacts of the Changing Ocean-Sea Ice System on the Key Forage Fish Arctic Cod (Boreogadus Saida) and Subsistence Fisheries in the Western Canadian Arctic—Evaluating Linked Climate, Ecosystem and Economic (CEE) Models. Frontiers in Marine Science, 6, 179. https://doi.org/http://dx.doi.org/10.3389/fmars.2019.00179",2019,journal paper,Canada,Arctic,"Yukon, Northwest Territories, Canada Basin, Beaufort Sea",ecosystem,> 5 years,Arctic Cod,no,not specified,yes,no,no,no,not specified,NA,NA,abundance,"temperature, ice, oxygen, other pressure, Climate (NAO, NPGO, etc)","temperature, ice, oxygen, other pressure, Climate (NAO, NPGO, etc)",NA,NA,NA,"temperature, ice, oxygen, other pressure, Climate (NAO, NPGO, etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"temperature, ice, oxygen, other pressure, Climate (NAO, NPGO, etc)",NA,NA,NA,Arctic,,,,
"Stillwell, C.E., and Kohler, N.E.","Stillwell, C.E., and Kohler, N.E. 1985. Food and feeding ecology of the swordfish Xiphias gladius in the western North Atlantic Ocean with estimates of daily ration. Mar. Ecol. Prog. Ser. Oldend. 22(3): 239–247. NOAA, NMFS, Northeast Fish. Cent., Narragansett Lab., South Ferry Rd., Narragansett, RI 02882, USA. Available from http://search.proquest.com.ezproxy.library.uvic.ca/docview/14204396?accountid=14846.",1985,journal paper,"Canada, USA",Atlantic,"West Atlantic (Canada + USA East coasts), Scotian Shelf (Divs. 4VWX)",ecosystem,< 5 years,sand lances,yes,not specified,no,no,yes,no,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Stillwell, C.E., and Kohler, N.E.","Stillwell, C.E., and Kohler, N.E. 1985. Food and feeding ecology of the swordfish Xiphias gladius in the western North Atlantic Ocean with estimates of daily ration. Mar. Ecol. Prog. Ser. Oldend. 22(3): 239–247. NOAA, NMFS, Northeast Fish. Cent., Narragansett Lab., South Ferry Rd., Narragansett, RI 02882, USA. Available from http://search.proquest.com.ezproxy.library.uvic.ca/docview/14204396?accountid=14846.",1985,journal paper,"Canada, USA",Atlantic,"West Atlantic (Canada + USA East coasts), Scotian Shelf (Divs. 4VWX)",ecosystem,< 5 years,Atlantic Herring,yes,not specified,no,no,yes,no,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Stillwell, C.E., and Kohler, N.E.","Stillwell, C.E., and Kohler, N.E. 1985. Food and feeding ecology of the swordfish Xiphias gladius in the western North Atlantic Ocean with estimates of daily ration. Mar. Ecol. Prog. Ser. Oldend. 22(3): 239–247. NOAA, NMFS, Northeast Fish. Cent., Narragansett Lab., South Ferry Rd., Narragansett, RI 02882, USA. Available from http://search.proquest.com.ezproxy.library.uvic.ca/docview/14204396?accountid=14846.",1985,journal paper,"Canada, USA",Atlantic,"West Atlantic (Canada + USA East coasts), Scotian Shelf (Divs. 4VWX)",ecosystem,< 5 years,Atlantic Mackerel,yes,not specified,no,no,yes,no,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Anderson, J.T., Dalley, E.L., and Colbourne, E.B.","Anderson, J.T., Dalley, E.L., and Colbourne, E.B. 1999. Recent trends in the dominant pelagic fish species and environment in the Northwest Atlantic, NAFO 2J3KLNO. TT - Tendances recentes de l’espece de poisson pelagique dominante et de l’environnement dans l’Atlantique Nord-Ouest, l’OPANO 2J3KLNO. In Research document (Canadian Science Advisory Secretariat)/Document de recherche (Secretariat canadien de consultation scientifique). DFO, St. John’s, NF (Canada), [mailto:info@dfo-mpo.gc.ca]. Available from http://search.proquest.com.ezproxy.library.uvic.ca/docview/1746891333?accountid=14846.",1999,organization report,Canada,Atlantic,"Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL), Southern Newfoundland (Divs. 3NOPs)",distribution,< 5 years,Capelin,yes,"Larval, Juvenile",yes,no,no,no,pelagic trawl,NA,NA,abundance,temperature,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,temperature,NA,NA,NA,NLMar,,,,
"Anderson, J.T., Dalley, E.L., and Colbourne, E.B.","Anderson, J.T., Dalley, E.L., and Colbourne, E.B. 1999. Recent trends in the dominant pelagic fish species and environment in the Northwest Atlantic, NAFO 2J3KLNO. TT - Tendances recentes de l’espece de poisson pelagique dominante et de l’environnement dans l’Atlantique Nord-Ouest, l’OPANO 2J3KLNO. In Research document (Canadian Science Advisory Secretariat)/Document de recherche (Secretariat canadien de consultation scientifique). DFO, St. John’s, NF (Canada), [mailto:info@dfo-mpo.gc.ca]. Available from http://search.proquest.com.ezproxy.library.uvic.ca/docview/1746891333?accountid=14846.",1999,organization report,Canada,Atlantic,"Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL), Southern Newfoundland (Divs. 3NOPs)",distribution,< 5 years,sand lances,yes,"Adult, Juvenile, Larval",yes,no,no,no,pelagic trawl,NA,NA,abundance,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NLMar,,,,
"Chiperzak, D. B., Hopky, G. E., Lawrence, M. J., & Lacho, G.","Chiperzak, D. B., Hopky, G. E., Lawrence, M. J., & Lacho, G. (1990). Marine ichthyoplankton data from the Canadian Beaufort Sea Shelf, July and September, 1984. Can. Data Rep. Fish. Aquat. Sci., (779), v+45.",1990,organization report,Canada,Arctic,Beaufort Sea,distribution,1 year,Arctic Cod,no,"Egg, Larval",no,yes,no,yes,"plankton net, other",NA,NA,standardized abundance,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctic,,,,
